Key	Item Type	Publication Year	Author	Title	DOI	Publication Title	ISBN	ISSN		Url	Date	Pages	Num Pages	Issue	Volume	Number Of Volumes	Series	Publisher	Place	Language	Rights	Library Catalog	Extra	File Attachments	Manual Tags	Automatic Tags	Series Editor
8X8SS2QC	journalArticle	2021	Zhuang, Wenbao; Li, Song; Bai, Yang; Zhang, Tengteng; Al-Rasheid, Khaled A S; Hu, Xiaozhong	Morphology and molecular phylogeny of the anaerobic freshwater ciliate Urostomides spinosus nov. spec. (Ciliophora, Armophorea, Metopida) from China	10.1016/j.ejop.2021.125823	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2021.125823	2021-10	125823		125823	81								Publisher: Elsevier BV		SSU rDNA; Anaerobe; Apometopidae; Ciliary pattern; New species		
CCMSPL7Z	journalArticle	2015	Qu, Zhishuai; Pan, Hongbo; Hu, Xiaozhong; Li, Jiqiu; Al-Farraj, Saleh A; Al-Rasheid, Khaled A S; Yi, Zhenzhen	Morphology and Molecular Phylogeny of Three Cyrtophorid Ciliates (Protozoa, Ciliophora) from China, Including Two New Species, Chilodonella parauncinata sp. n. and Chlamydonella irregularis sp. n	10.1111/jeu.12175	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12175	2015-05	267-279		3	62								Publisher: Wiley		taxonomy; ciliate; Chlamydodontida; infraciliature; small subunit rRNA gene		
82DJK3ZQ	journalArticle	2015	Jo, Euna; Jung, Jae-Ho; Min, Gi-Sik	Morphology and molecular phylogeny of two new brackish water ciliates of Bakuella (Ciliophora: Urostylida: Bakuellidae) from South Korea	10.1111/jeu.12238	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12238	2015-11	799-809		6	62								Publisher: Wiley		new species; SSU rRNA gene; Bakuella incheonensis; Bakuella litoralis; ciliature		
J9T7KQQM	journalArticle	2019	Kim, Kang-San; Jung, Jae-Ho; Min, Gi-Sik	Morphology and Molecular Phylogeny of Two New Terrestrial Ciliates, Australocirrus rubrus n. sp. and Notohymena gangwonensis n. sp. (Ciliophora: Oxytrichidae), from South Korea	10.1111/jeu.12718	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12718	2019-09	740-751		5	66								Publisher: Wiley		Cyrtohymenides; dorsal ciliature; soil ciliate; SSU rRNA gene sequence		
KXBBG2HE	journalArticle	1999	Foissner, Wilhelm; Agatha, Sabine	Morphology and Morphogenesis of <i>Metopus hasei</i> Sondheim, 1929 and <i>M. inversus</i> (Jankowski, 1964) nov. comb. (Ciliophora, Metopida)		J. Eukaryot. Microbiol.					1999-03	174–193		2	46					en	http://onlinelibrary.wiley.com/termsAndConditions#vor		Publisher: Wiley				
G9P4L7J2	journalArticle	1988	Wiackowski, Krzysztof	Morphology and morphogenesis of a new species in the genusPseudourostyla(Hypotrichida, Ciliophora)	10.1080/00222938800770671	J. Nat. Hist.		0022-2933		http://dx.doi.org/10.1080/00222938800770671	1988-08	1085-1094		4	22								Publisher: Informa UK Limited				
P3JCI7GY	journalArticle	2013	Chen, Xumiao; Yan, Ying; Hu, Xiaozhong; Zhu, Mingzhuang; Ma, Honggang; Warren, Alan	Morphology and morphogenesis of a soil ciliate, Rigidohymena candens (Kahl, 1932) Berger, 2011 (Ciliophora, Hypotricha, Oxytrichidae), with notes on its molecular phylogeny based on small-subunit rDNA sequence data	10.1099/ijs.0.048611-0	Int. J. Syst. Evol. Microbiol.		1466-5026		http://dx.doi.org/10.1099/ijs.0.048611-0	2013-05	1912-1921		Pt 5	63								Publisher: Microbiology Society				
3HBKP5VV	journalArticle	1999	Foissner, Wilhelm; Agatha, Sabine	Morphology and Morphogenesis of Metopus hasei Sondheim, 1929 and M. inversus (Jankowski, 1964) nov. comb. (Ciliophora, Metopida)	10.1111/j.1550-7408.1999.tb04602.x	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/j.1550-7408.1999.tb04602.x	1999-03	174-193		2	46								Publisher: Wiley				
R9IAGFI3	journalArticle	2000	Olmo, José L	Morphology and morphogenesis of Uroleptus lepisma (Wenzel, 1953) Foissner, 1998 (Ciliophora, Hypotrichida)	10.1016/s0932-4739(00)80043-7	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/s0932-4739(00)80043-7	2000-12	379-386		4	36								Publisher: Elsevier BV				
N9VA9NYY	journalArticle	2010	Küppers, Gabriela C; Claps, María C	Morphology and notes on morphogenesis during cell division of Deviata polycirrata n. sp. and of Deviata bacilliformis (Gelei, 1954) Eigner, 1995 (Ciliophora: Kahliellidae) from Argentina	10.1111/j.1550-7408.2010.00474.x	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/j.1550-7408.2010.00474.x	2010-05	273-284		3	57								Publisher: Wiley				
CU3ASLBJ	journalArticle	2009	Foissner, Wilhelm; Wolf, Klaus W	Morphology and ontogenesis of Platyophrya bromelicola nov. spec., a new macrostome-forming colpodid (Protists, Ciliophora) from tank bromeliads of Jamaica	10.1016/j.ejop.2008.07.003	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2008.07.003	2009-05	87-97		2	45								Publisher: Elsevier BV				
4H28BRUY	journalArticle	2014	Heber, Domingo; Stoeck, Thorsten; Foissner, Wilhelm	Morphology and ontogenesis of Psilotrichides hawaiiensis nov. gen., nov. spec. and molecular phylogeny of the Psilotrichidae (Ciliophora, Hypotrichia)	10.1111/jeu.12104	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12104	2014-05	260-277		3	61								Publisher: Wiley		Biodiversity; development of oral primordium in a deep pouch; Hawaiian archipelago; Japanese rice field; migrating kinetofragment; oral pattern; revision		
G9YMMJIP	journalArticle	2014	Chen, Ying; Zhao, Yan; Pan, Xuming; Ding, Wenqiao; Al-Rasheid, Khaled A S; Qiu, Zijian	Morphology and Phylogeny of a New Frontonia Ciliate, F. paramagna spec. nov. (Ciliophora, Peniculida) from Harbin, Northeast China	10.11646/zootaxa.3827.3.7	Zootaxa		1175-5326		http://dx.doi.org/10.11646/zootaxa.3827.3.7	2014-07-04	375-386		3	3827												
NAHJPNL9	journalArticle	2018	Lewis, William H; Sendra, Kacper M; Embley, T Martin; Esteban, Genoveva F	Morphology and Phylogeny of a New Species of Anaerobic Ciliate, Trimyema finlayi n. sp., with Endosymbiotic Methanogens	10.3389/fmicb.2018.00140	Front. Microbiol.		1664-302X		http://dx.doi.org/10.3389/fmicb.2018.00140	2018-02-19				9								Publisher: Frontiers Media SA				
CJSSBH4M	journalArticle	2012	Bourland, William A; Hampikian, Greg; Vďačný, Peter	Morphology and phylogeny of a new woodruffiid ciliate, Etoschophrya inornata sp. n. (Ciliophora, Colpodea, Platyophryida), with an account on evolution of platyophryids	10.1111/j.1463-6409.2012.00539.x	Zool. Scr.		0300-3256		http://dx.doi.org/10.1111/j.1463-6409.2012.00539.x	2012-07	400-416		4	41								Publisher: Wiley				
JURBIPGG	journalArticle	2018	Yıldız, İsmail	Morphology and phylogeny of Apertospathula oktemae n. sp. (Ciliophora, Haptoria, Spathidiida) from Lake Van, Turkey	10.1016/j.ejop.2018.06.001	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2018.06.001	2018-10	1-8			66								Publisher: Elsevier BV				
JBBAGX94	journalArticle	2014	Bourland, William A; Wendell, Laura; Hampikian, Greg; Vďačný, Peter	Morphology and phylogeny of Bryophryoides ocellatus n. g., n. sp. (Ciliophora, Colpodea) from in situ soil percolates of Idaho, U.S.A	10.1016/j.ejop.2013.09.001	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2013.09.001	2014-02	47-67		1	50								Publisher: Elsevier BV		18S rRNA gene; Bryophryidae; Cortical alveoli; Silverline pattern; Single-cell PCR; Vestibulum		
PEIC33NW	journalArticle	2017	Omar, Atef; Zhang, Qianqian; Zou, Songbao; Gong, Jun	Morphology and Phylogeny of the Soil Ciliate Metopus yantaiensis n. sp. (Ciliophora, Metopida), with Identification of the Intracellular Bacteria	10.1111/jeu.12411	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12411	2017-11	792-805		6	64								Publisher: Wiley				
VPN97GSS	journalArticle	2022	Bourland, William; Pomahač, Ondřej; Čepička, Ivan	Morphology and phylogeny of two anaerobic freshwater ciliates: Brachonella comma sp. nov. and the widely distributed but little-known caenomorphid, Ludio parvulus Penard, 1922	10.1111/jeu.12892	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12892	2022-05	e12892		3	69								Publisher: Wiley		18S rRNA gene; Armophorida; anaerobic ciliates; Armophorea; Caenomorphidae; Ludioidae; Metopida		
BV6MYSYU	journalArticle	2018	Liao, Wanying; Fan, Xinpeng; Zhang, Qianqian; Xu, Yuan; Gu, Fukang	Morphology and Phylogeny of Two Novel Ciliates,Arcanisutura chongmingensisn. gen., n. sp. andNaxella paralucidan. sp. from Shanghai, China	10.1111/jeu.12431	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12431	2018-01	48-60		1	65								Publisher: Wiley				
L8SCGDDA	journalArticle	2011	He, Yingying; Xu, Kuidong	Morphology and small subunit rDNA phylogeny of a new soil ciliate, Bistichella variabilis n. sp. (Ciliophora, Stichotrichia)	10.1111/j.1550-7408.2011.00554.x	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/j.1550-7408.2011.00554.x	2011-07	332-338		4	58								Publisher: Wiley				
NYBKC7G2	journalArticle	2019	Lian, Chunyu; Zhang, Tengteng; Al-Rasheid, Khaled A S; Yu, Yuhe; Jiang, Jiamei; Huang, Jie	Morphology and SSU rDNA-based phylogeny of two Euplotes species from China: E. wuhanensis sp. n. and E. muscicola Kahl, 1932 (Ciliophora, Euplotida)	10.1016/j.ejop.2018.10.001	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2018.10.001	2019-02	1-14			67								Publisher: Elsevier BV		Soil microbiology; Ciliates; Taxonomy; Protist biodiversity; rRNA gene sequences; Silverline system		
TRER7CEW	journalArticle	2022	Tang, Qiuyue; Shao, Chen; Jin, Didi; Warren, Alan; Wang, Jingyi; Li, Jingbao	Morphology, cell division, and phylogeny of Notohymena antarctica Foissner, 1996 and Engelmanniella mobilis (Engelmann, 1862) Foissner, 1982 (Ciliophora, Hypotrichia)	10.1016/j.ejop.2022.125879	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2022.125879	2022-06	125879		125879	84								Publisher: Elsevier BV		Ciliates; Molecular phylogeny; Engelmanniella; Hypotrichia; Notohymena; Ontogenesis		
F2M25VLT	journalArticle	2018	Lu, Xiaoteng; Huang, Jie; Shao, Chen; Berger, Helmut	Morphology, cell-division, and phylogeny of Schmidingerothrix elongata spec. nov. (Ciliophora, Hypotricha), and brief guide to hypotrichs with Gonostomum -like oral apparatus	10.1016/j.ejop.2017.11.001	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2017.11.001	2018-02	24-42			62								Publisher: Elsevier BV				
JDAQKFAV	journalArticle	2013	Li, Fengchao; Xing, Yi; Li, Jiamei; Al-Rasheid, Khaled A S; He, Songke; Shao, Chen	Morphology, morphogenesis and small subunit rRNA gene sequence of a soil hypotrichous ciliate, Perisincirra paucicirrata (Ciliophora, Kahliellidae), from the shoreline of the Yellow River, North China	10.1111/jeu.12029	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12029	2013-05	247-256		3	60								Publisher: Wiley				
T7ZALQ94	journalArticle	2014	Kumar, Santosh; Bharti, Daizy; Marinsalti, Silvia; Insom, Emilio; La Terza, Antonietta	"Morphology, morphogenesis, and molecular phylogeny of Paraparentocirrus sibillinensis n. gen., n. sp., a ""Stylonychine Oxytrichidae"" (Ciliophora, Hypotrichida) without transverse cirri"	10.1111/jeu.12103	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12103	2014-05	247-259		3	61								Publisher: Wiley		soil ciliates; Italian fauna; Beech forest; flexible/rigid body; Sibillini Park		
WJNJ73GI	journalArticle	2015	Bourland, William A	Morphology, ontogenesis and molecular characterization of Atractos contortus Vörösváry, 1950 and Stichotricha aculeata Wrzesniowskiego, 1866 (Ciliophora, Stichotrichida) with consideration of their systematic positions	10.1016/j.ejop.2015.06.004	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2015.06.004	2015-10	351-373		5	51								Publisher: Elsevier BV		Phylogeny; Dorsomarginalia; Canada; Morphogenesis; Spirofilidae; Uroleptus		
TJ5Y5JC4	journalArticle	2014	Foissner, Wilhelm; Jung, Jae-Ho; Filker, Sabine; Rudolph, Jennifer; Stoeck, Thorsten	Morphology, ontogenesis and molecular phylogeny of Platynematum salinarum nov. spec., a new scuticociliate (Ciliophora, Scuticociliatia) from a solar saltern	10.1016/j.ejop.2013.10.001	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2013.10.001	2014-04	174-184		2	50								Publisher: Elsevier BV		Biodiversity; Cinetochilidae; Extremophile ciliates; Hypersaline ciliates; Platynematum marinum; Portugal		
97IWBG2A	journalArticle	2013	Jiang, Jiamei; Huang, Jie; Li, Liqiong; Shao, Chen; Al-Rasheid, Khaled A S; Al-Farraj, Saleh A; Chen, Zigui	Morphology, ontogeny, and molecular phylogeny of two novel bakuellid-like hypotrichs (Ciliophora: Hypotrichia), with establishment of two new genera	10.1016/j.ejop.2012.05.003	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2012.05.003	2013-01	78-92		1	49								Publisher: Elsevier BV				
2ZXPBBY6	journalArticle	2013	Modeo, Letizia; Fokin, Sergei I; Boscaro, Vittorio; Andreoli, Ilaria; Ferrantini, Filippo; Rosati, Giovanna; Verni, Franco; Petroni, Giulio	Morphology, ultrastructure, and molecular phylogeny of the ciliate Sonderia vorax with insights into the systematics of order Plagiopylida	10.1186/1471-2180-13-40	BMC Microbiol.		1471-2180		http://dx.doi.org/10.1186/1471-2180-13-40	2013-02-18	40			13												
NPBHFR24	journalArticle	2007	Julian Schwarz, M V; Zuendorf, Alexandra; Stoeck, Thorsten	Morphology, ultrastructure, molecular phylogeny, and autecology of Euplotes elegans Kahl, 1932 (Hypotrichida; Euplotidae) isolated from the anoxic Mariager Fjord, Denmark	10.1111/j.1550-7408.2007.00243.x	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/j.1550-7408.2007.00243.x	2007-03	125-136		2	54								Publisher: Wiley				
BJE5ETVF	journalArticle	2018		New discoveries of the genus Thuricola Kent, 1881 (Ciliophora, Peritrichia, Vaginicolidae), with descriptions of three poorly known species from China	10.4467/16890027ap.18.011.8985	Acta Protozool.		0065-1583		http://dx.doi.org/10.4467/16890027ap.18.011.8985	2018			2	57								Publisher: Uniwersytet Jagiellonski - Wydawnictwo Uniwersytetu Jagiellonskiego				
NN9ZFK9E	journalArticle	2014	Foissner, Wilhelm; Bourland, William A; Wolf, Klaus W; Stoeck, Thorsten; Dunthorn, Micah	New SSU-rDNA sequences for eleven colpodeans (Ciliophora, Colpodea) and description of Apocyrtolophosis nov. gen	10.1016/j.ejop.2013.09.003	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2013.09.003	2014-02	40-46		1	50								Publisher: Elsevier BV		Colpoda; Soil ciliates; Cyrtolophosis minor; Jaroschia sumptuosa; Kalometopia duplicata; Tank bromeliad ciliates		
GYIHSFJ8	journalArticle	2013	Pan, Ying; Li, Jiamei; Li, Lifang; Hu, Xiaozhong; Al-Rasheid, Khaled A S; Warren, Alan	Ontogeny and molecular phylogeny of a new marine ciliate genus, Heterokeronopsis g. n. (Protozoa, Ciliophora, Hypotricha), with description of a new species	10.1016/j.ejop.2012.08.008	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2012.08.008	2013-05	298-311		2	49								Publisher: Elsevier BV				
TIQLKB9E	journalArticle	2024	Feng, Xiaochen; Zhuang, Wenbao; Li, Ran; Hu, Xiaozhong	Ontogeny and phylogeny of the anaerobic genus Urostomides with supplementing morphological characterization of the type and one little-known species (Alveolata: Ciliophora: Armophorea)	10.1093/zoolinnean/zlae055	Zool. J. Linn. Soc.		0024-4082		http://dx.doi.org/10.1093/zoolinnean/zlae055	2024-05-24												Publisher: Oxford University Press (OUP)				
B8P8CBT4	journalArticle	2021	Karpov, Sergey A; Reñé, Albert; Vishnyakov, Andrey E; Seto, Kensuke; Alacid, Elisabet; Paloheimo, Aurora; Kagami, Maiko; Kremp, Anke; Garcés, Esther	Parasitoid chytridiomycete Ericiomyces syringoforeus gen. et sp. nov. has unique cellular structures to infect the host	10.1007/s11557-020-01652-x	Mycol. Prog.		1617-416X		http://dx.doi.org/10.1007/s11557-020-01652-x	2021-02	95-109		2	20								Publisher: Springer Science and Business Media LLC				
AH2H2ST5	journalArticle	2015	Wu, Lei; Clamp, John C; Yi, Zhenzhen; Li, Jiqiu; Lin, Xiaofeng	Phylogenetic and taxonomic revision of an enigmatic group of haptorian ciliates, with establishment of the kentrophyllidae fam. N. (protozoa, Ciliophora, litostomatea, pleurostomatida)	10.1371/journal.pone.0123720	PLoS One		1932-6203		http://dx.doi.org/10.1371/journal.pone.0123720	2015-05-06	e0123720		5	10								Publisher: Public Library of Science (PLoS)				
X4VLISBP	journalArticle	2009	Dunthorn, Micah; Eppinger, Marion; Schwarz, M V Julian; Schweikert, Michael; Boenigk, Jens; Katz, Laura A; Stoeck, Thorsten	Phylogenetic placement of the Cyrtolophosididae Stokes, 1888 (Ciliophora; Colpodea) and neotypification of Aristerostoma marinum Kahl, 1931	10.1099/ijs.0.000935-0	Int. J. Syst. Evol. Microbiol.		1466-5026		http://dx.doi.org/10.1099/ijs.0.000935-0	2009-01	167-180		Pt 1	59								Publisher: Microbiology Society				
JNDXBGAL	journalArticle	2011	Chen, Xumiao; Clamp, John C; Song, Weibo	Phylogeny and systematic revision of the family Pseudokeronopsidae (Protista, Ciliophora, Hypotricha), with description of a new estuarine species of Pseudokeronopsis	10.1111/j.1463-6409.2011.00492.x	Zool. Scr.		0300-3256		http://dx.doi.org/10.1111/j.1463-6409.2011.00492.x	2011-11	659-671		6	40								Publisher: Wiley				
UJCDZ5WF	journalArticle	2019	Luo, Xiaotian; Huang, Jie A; Li, Lifang; Song, Weibo; Bourland, William A	Phylogeny of the ciliate family Psilotrichidae (Protista, Ciliophora), a curious and poorly-known taxon, with notes on two algae-bearing psilotrichids from Guam, USA	10.1186/s12862-019-1450-z	BMC Evol. Biol.		1471-2148		http://dx.doi.org/10.1186/s12862-019-1450-z	2019-06-18	125		1	19								Publisher: Springer Science and Business Media LLC		18S rRNA gene; Biogeography; Biodiversity; Protist; Algal symbionts; Ciliate; Hemiholosticha		
Q88739VE	journalArticle	2017	Park, Kyung-Min; Jung, Jae-Ho; Min, Gi-Sik; Kim, Sanghee	Pseudonotohymena antarctica n. g., n. sp. (Ciliophora, Hypotricha), a New Species from Antarctic Soil	10.1111/jeu.12381	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12381	2017-07	447-456		4	64								Publisher: Wiley				
N7CKRVJL	journalArticle	2018	Xu, Yuan; Gao, Feng; Fan, Xinpeng	Reconsideration of the systematics of Peniculida (Protista, Ciliophora) based on SSU rRNA gene sequences and new morphological features of Marituja and Disematostoma	10.1007/s10750-017-3371-4	Hydrobiologia		0018-8158		http://dx.doi.org/10.1007/s10750-017-3371-4	2018-01	313-331		1	806								Publisher: Springer Science and Business Media LLC				
TSRRQKPD	journalArticle	2017	Bourland, William; Rotterova, Johana; Čepička, Ivan	Redescription and molecular phylogeny of the type species for two main metopid genera, Metopus es (Müller, 1776) Lauterborn, 1916 and Brachonella contorta (Levander, 1894) Jankowski, 1964 (Metopida, Ciliophora), based on broad geographic sampling	10.1016/j.ejop.2016.11.002	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2016.11.002	2017-06	133-154			59								Publisher: Elsevier BV		18S rRNA gene; Phylogeny; Armophorida; Metopidae; Anaerobic ciliates; Protargol		
BK3VJKMR	journalArticle	2014	Bourland, William A; Wendell, Laura	Redescription of Atopospira galeata (Kahl, 1927) nov. comb. and A. violacea (Kahl, 1926) nov. comb. with redefinition of Atopospira Jankowski, 1964 nov. stat. and Brachonella Jankowski, 1964 (Ciliophora, Armophorida)	10.1016/j.ejop.2014.05.004	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2014.05.004	2014-08	356-372		4	50								Publisher: Elsevier BV		Phylogeny; Adoral membranelle; Armophorida; Brachonella; Metopus; Paroral membrane		
88RVX397	journalArticle	1992	Fernández-Galiano, D; Calvo, P	Redescription of Phacodinium metchnikoffi (Ciliophora, Hypotrichida): general morphology and taxonomic position	10.1111/j.1550-7408.1992.tb04829.x	J. Protozool.		0022-3921		http://dx.doi.org/10.1111/j.1550-7408.1992.tb04829.x	1992-07	443-448		4	39								Publisher: Wiley				
8RELRQB9	journalArticle	2019	Adl, Sina M.; Bass, David; Lane, Christopher E.; Lukeš, Julius; Schoch, Conrad L.; Smirnov, Alexey; Agatha, Sabine; Berney, Cedric; Brown, Matthew W.; Burki, Fabien; Cárdenas, Paco; Čepička, Ivan; Chistyakova, Lyudmila; Campo, Javier del; Dunthorn, Micah; Edvardsen, Bente; Eglit, Yana; Guillou, Laure; Hampl, Vladimír; Heiss, Aaron A.; Hoppenrath, Mona; James, Timothy Y.; Karnkowska, Anna; Karpov, Sergey; Kim, Eunsoo; Kolisko, Martin; Kudryavtsev, Alexander; Lahr, Daniel J. G.; Lara, Enrique; Gall, Line Le; Lynn, Denis H.; Mann, David G.; Massana, Ramon; Mitchell, Edward A. D.; Morrow, Christine; Park, Jong Soo; Pawlowski, Jan W.; Powell, Martha J.; Richter, Daniel J.; Rueckert, Sonja; Shadwick, Lora; Shimano, Satoshi; Spiegel, Frederick W.; Torruella, Guifré; Youssef, Noha; Zlatogursky, Vasily; Zhang, Qianqian	Revisions to the classification, nomenclature, and diversity of eukaryotes	10.1111/jeu.12691	Journal of Eukaryotic Microbiology		1550-7408		https://onlinelibrary.wiley.com/doi/abs/10.1111/jeu.12691	2019	4-119		1	66					en	© 2018 The Authors Journal of Eukaryotic Microbiology published by Wiley Periodicals, Inc. on behalf of International Society of Protistologists	Wiley Online Library	0	/home/lentendug/Zotero/storage/5H924ZB5/Adl et al. - 2019 - Revisions to the Classification, Nomenclature, and.pdf		biodiversity; taxonomy; ecology; protozoa; plankton; Algae; parasite; amoebae; ciliate; flagellate; fungus; microbiology; systematics	
IPIECR3P	journalArticle	2006	Foissner, Wilhelm; Stoeck, Thorsten	"Rigidothrix goiseri nov. gen., nov. spec. (Rigidotrichidae nov. fam.), a new ""flagship"" ciliate from the Niger floodplain breaks the flexibility-dogma in the classification of stichotrichine spirotrichs (Ciliophora, Spirotrichea)"	10.1016/j.ejop.2006.07.003	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2006.07.003	2006-11	249-267		4	42								Publisher: Elsevier BV				
M56YPHM3	journalArticle	1980	Foissner, Wilhelm	Taxonomische Studien über die Ciliaten des Großglocknergebietes (Hohe Tauern, Österreich): I. Familien Holophryidae, Prorodontidae, Plagiocampidae, Colepidae, Enchelyidae und Lacrymariidae nov. fam.		Annalen des Naturhistorischen Museums in Wien. Serie B für Botanik und Zoologie		0255-0105		https://www.jstor.org/stable/41766619	1980	49-85			84							JSTOR	Publisher: Naturhistorisches Museum				
MSGIFF8N	journalArticle	2014	Li, Fengchao; Lv, Zhao; Yi, Zhenzhen; Al-Farraj, Saleh A; Al-Rasheid, Khaled A S; Shao, Chen	Taxonomy and phylogeny of two species of the genus Deviata (Protista, Ciliophora) from China, with description of a new soil form, Deviata parabacilliformis sp. nov	10.1099/ijs.0.068031-0	Int. J. Syst. Evol. Microbiol.		1466-5026		http://dx.doi.org/10.1099/ijs.0.068031-0	2014-11	3775-3785		Pt 11	64								Publisher: Microbiology Society				
4FRTFI2S	journalArticle	1975	Lynn, Denis H	The life cycle of the histophagous ciliate Tetrahymena corlissi Thompson, 1955	10.1111/j.1550-7408.1975.tb05849.x	J. Protozool.		0022-3921		http://dx.doi.org/10.1111/j.1550-7408.1975.tb05849.x	1975-05	188-195		2	22								Publisher: Wiley				
AJBNHQ6X	journalArticle	2013	Lu, Borong; Huang, Jie; Chen, Xiangrui	The morphology and SSU rRNA gene sequence analysis of a poorly-known brackish water ciliate, Pinacocoleps tesselatus (Kahl, 1930) (Ciliophora, Colepidae) from Hangzhou Bay, China	10.11646/zootaxa.3637.2.3	Zootaxa		1175-5326		http://dx.doi.org/10.11646/zootaxa.3637.2.3	2013	123-130			3637												
8VWS3ZJK	journalArticle	1983	Paperna, I; Van As, J G	The pathology of <i>Chilodonella hexasticha</i> (Kiernik). Infections in cichlid fishes		J. Fish Biol.					1983-10	441–450		4	23					en	http://onlinelibrary.wiley.com/termsAndConditions#vor		Publisher: Wiley				
HBP8HW8F	document	2018	Cornwell, Will; Habacuc	traitecoevo/fungaltraits v0.0.3							2018							Zenodo									
VCRKIICC	journalArticle	2018	Rotterová, Johana; Bourland, William; Čepička, Ivan	Tropidoatractidae fam. Nov., a deep branching lineage of metopida (armophorea, Ciliophora) found in diverse habitats and possessing prokaryotic symbionts	10.1016/j.protis.2018.04.003	Protist		1434-4610		http://dx.doi.org/10.1016/j.protis.2018.04.003	2018-07	362-405		3	169								Publisher: Elsevier BV				
U275NEZQ	journalArticle	2021	Li, Song; Zhuang, Wenbao; Pérez-Uz, Blanca; Zhang, Qianqian; Hu, Xiaozhong	Two Anaerobic Ciliates (Ciliophora, Armophorea) from China: Morphology and SSU rDNA Sequence, with Report of a New Species, Metopus paravestitus nov. spec	10.1111/jeu.12822	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12822	2021-01	e12822		1	68								Publisher: Wiley		phylogeny; diversity; Anaerobe; Metopidae; armophorean		
MUFC2TR8	journalArticle	2022	Zhang, Gongaote; Zhao, Yan; Chi, Yong; Warren, Alan; Pan, Hongbo; Song, Weibo	Updating the phylogeny and taxonomy of pleurostomatid ciliates (Protista: Ciliophora) with establishment of a new family, a new genus and two new species	10.1093/zoolinnean/zlac028	Zool. J. Linn. Soc.		0024-4082		http://dx.doi.org/10.1093/zoolinnean/zlac028	2022-08-26	105-123		1	196								Publisher: Oxford University Press (OUP)				
EHZPVWB3	journalArticle	1990	Schulz, S; Wagener, S; Pfennig, N	Utilization of various chemotrophic and phototrophic bacteria as food by the anaerobic ciliate Trimyema compressum	10.1016/S0932-4739(11)80106-9	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/S0932-4739(11)80106-9	1990-10-19	122-131		2	26								Publisher: Elsevier BV				
