genus	PR2_family	corrected_family
Oxystomina	Enoplea_X	Oxystominidae
Oxystominidae	Enoplea_X	Oxystominidae
Paraxonchium	Enoplea_X	Paraxonchiidae
Phanoderma	Enoplea_X	Phanodermatidae
Phanodermatidae	Enoplea_X	Phanodermatidae
Phanodermopsis	Enoplea_X	Phanodermatidae
Prismatolaimus	Enoplea_X	Prismatolaimidae
Allodorylaimus	Enoplea_X	Qudsianematidae
Carcharodiscus	Enoplea_X	Qudsianematidae
Discolaimus	Enoplea_X	Qudsianematidae
Ecumenicus	Enoplea_X	Qudsianematidae
Epidorylaimus	Enoplea_X	Qudsianematidae
Eudorylaimus	Enoplea_X	Qudsianematidae
Microdorylaimus	Enoplea_X	Qudsianematidae
Thonus	Enoplea_X	Qudsianematidae
Labronema	Enoplea_X	Quidsianematidae
Oxydirus	Enoplea_X	Sewangeriidae
Soboliphyme	Enoplea_X	Soboliphymidae
Enoploides	Enoplea_X	Thoracostomopsidae
Enoplolaimus	Enoplea_X	Thoracostomopsidae
Opisthodorylaimus	Enoplea_X	Thornenematidae
Thornia	Enoplea_X	Thorniidae
Epitobrilus	Enoplea_X	Tobrilidae
Eutobrilus	Enoplea_X	Tobrilidae
Semitobrilus	Enoplea_X	Tobrilidae
Tobrilus	Enoplea_X	Tobrilidae
UnclassifiedTobrilidae	Enoplea_X	Tobrilidae
Rhabdocoma	Enoplea_X	Trefusiidae
Trefusia	Enoplea_X	Trefusiidae
Trichinella	Enoplea_X	Trefusiidae
Trichocephalida	Enoplea_X	Trefusiidae
Nanidorus	Enoplea_X	Trichodoridae
Paratrichodorus	Enoplea_X	Trichodoridae
Trichodorus	Enoplea_X	Trichodoridae
Trichuris	Enoplea_X	Trichodoridae
Paratripyla	Enoplea_X	Tripylidae
Tripyla	Enoplea_X	Tripylidae
Tripylella	Enoplea_X	Tripylidae
Tripylina	Enoplea_X	Tripylidae
Trischistoma	Enoplea_X	Tripylidae
Bathylaimus	Enoplea_X	Tripyloididae
Tripyloides	Enoplea_X	Tripyloididae
Tylencholaimellus	Enoplea_X	Tylencholaimellidae
Tylencholaimus	Enoplea_X	Tylencholaimidae
Valvaelaimus	Enoplea_X	Xyalidae
Rhabdolaimus	Haliplectoidea	Rhabdolaimidae
Dioctophyme	Nematoda_XX	Dioctophymatidae
